id,name,active,default_code,categ_id:id,purchase_ok,sale_ok,can_be_expensed,list_price,standard_price,property_account_expense_id,supplier_taxes_id,property_account_income_id,taxes_id,type,state,uom_id:id
scenario.exp_product_0001,Benzin,TRUE,,hr_expense.cat_expense,False,False,True,0,0,6210,TVA 8.0% sur invest. et autres ch. (Incl. TN),,,product,sellable,product.product_uom_unit
scenario.exp_product_0002,"Reisespesen (ÖV, Taxi, Mietauto, Parkgebühr)",TRUE,,hr_expense.cat_expense,False,False,True,0,0,5082,TVA 8.0% sur invest. et autres ch. (Incl. TN),,,product,sellable,product.product_uom_unit
scenario.exp_product_0003,Kilometerspesen (0.70/km),TRUE,,hr_expense.cat_expense,False,False,True,0.7,0,5082,,,,product,sellable,product.product_uom_unit
scenario.exp_product_0004,Verpflegungsspesen (inkl. MWST 8%),TRUE,,hr_expense.cat_expense,False,False,True,0,0,5083,TVA 8.0% sur invest. et autres ch. (Incl. TN),,,product,sellable,product.product_uom_unit
scenario.exp_product_0005,Verpflegungsspesen (inkl. MWST 2.5%),TRUE,,hr_expense.cat_expense,False,False,True,0,0,5083,TVA 2.5% sur invest. et autres ch. (Incl. TR),,,product,sellable,product.product_uom_unit
scenario.exp_product_0006,Partner- bzw. Werbespesen (inkl. MWST 8%),TRUE,,hr_expense.cat_expense,False,False,True,0,0,6641,TVA 8.0% sur invest. et autres ch. (Incl. TN),,,product,sellable,product.product_uom_unit
scenario.exp_product_0007,Partner- bzw. Werbespesen (inkl. MWST 2.5%),TRUE,,hr_expense.cat_expense,False,False,True,0,0,6641,TVA 2.5% sur invest. et autres ch. (Incl. TR),,,product,sellable,product.product_uom_unit
scenario.exp_product_0008,Übernachtungsspesen (inkl. 3.8),TRUE,,hr_expense.cat_expense,False,False,True,0,0,5084,TVA 3.8% sur invest. et autres ch. (Incl. TS),,,product,sellable,product.product_uom_unit
scenario.exp_product_0009,"Diverses (Büro-, Hilfs-Material, Porti, Gebühren etc.)",TRUE,,hr_expense.cat_expense,False,False,True,0,0,6500,TVA 8.0% sur invest. et autres ch. (Incl. TN),,,product,sellable,product.product_uom_unit
scenario.exp_product_0010,Auslandspesen,TRUE,,hr_expense.cat_expense,False,False,True,0,0,5082,,,,product,sellable,product.product_uom_unit
