id,name
scenario.region_-2142967377,"Wil, Toggenburg"
scenario.region_-2142967379,"Region St. Gallen, AR, AI"
scenario.region_-2142967382,"Glarus, Walensee"
scenario.region_-2142967384,Thurgau
scenario.region_-2142967385,Schaffhausen
scenario.region_-2142967386,"Rheintal, Lichtenstein"
scenario.region_-2142967387,"NW, OW, UR"
scenario.region_-2143786434,_Ausland
scenario.region_-2144059992,Zürcher Unterland
scenario.region_-2144059995,"Winterthur, Tösstal"
scenario.region_-2144059996,"Westschweiz Nord, Jura"
scenario.region_-2144060001,Unterwallis
scenario.region_-2144060003,Stadt Zürich
scenario.region_-2144060004,Stadt Basel
scenario.region_-2144060005,"Solothurn, Zofingen, Langenthal"
scenario.region_-2144060006,Schwyz
scenario.region_-2144060013,Region Stadt Bern
scenario.region_-2144060016,Region Zürichsee
scenario.region_-2144060018,"Region Mendrisiotto, Chiasso"
scenario.region_-2144060019,Region Lugano
scenario.region_-2144060020,Region Locarno
scenario.region_-2144060021,"Region Limmattal, Knonaueramt"
scenario.region_-2144060024,Region Leventina
scenario.region_-2144060029,Region Bellinzona und GR it.
scenario.region_-2144060030,"Region Baselland, Fricktal"
scenario.region_-2144060032,Oberwallis
scenario.region_-2144060034,Marchairuz
scenario.region_-2144060036,"Le grand Vaud, Fribourg"
scenario.region_-2144060037,Lausanne u. La Côte nord-est
scenario.region_-2144060038,"Kloten, Glatttal bis ZH Oberland"
scenario.region_-2144060039,Kanton Zug
scenario.region_-2144060040,Graubünden (ohne Bergell und Puschlav)
scenario.region_-2144060041,Genf u. La Côte sud-ouest
scenario.region_-2144060042,"Entlebuch, Sempach"
scenario.region_-2144060043,"Biel, Seeland"
scenario.region_-2144060046,Berner Oberland
scenario.region_-2144060047,"Bern Nordost, Oberaargau"
scenario.region_-2144060048,Bergell und Puschlav
scenario.region_-2144060049,Agglomeration und Stadt Luzern
scenario.region_-2144060050,Aargau
